Department,City,Population
Artibonite,Dessalines,136876
Artibonite,Dessalines,165424
Artibonite,Dessalines,33672
Artibonite,Dessalines,21131
Artibonite,Dessalines,155272
Artibonite,Gonaïves,324043
Artibonite,Gonaïves,41068
Artibonite,Gonaïves,46581
Artibonite,Gros-Morne,28421
Artibonite,Gros-Morne,39463
Artibonite,Gros-Morne,141587
Artibonite,Marmelade,34609
Artibonite,Saint-Marc,28695
Artibonite,Saint-Marc,242485
Artibonite,Saint-Marc,131693
Centre,Cerca-la-Source,57496
Centre,Cerca-la-Source,51410
Centre,Hinche,109916
Centre,Hinche,56274
Centre,Hinche,21147
Centre,Hinche,53602
Centre,Lascahobas,78765
Centre,Lascahobas,32920
Centre,Lascahobas,41716
Centre,Mirebalais,50952
Centre,Mirebalais,88899
Centre,Mirebalais,35529
Grand'Anse,Anse d'Hainault,33103
Grand'Anse,Anse d'Hainault,35237
Grand'Anse,Anse-d'Hainault,21257
Grand'Anse,Corail,40613
Grand'Anse,Corail,28720
Grand'Anse,Corail,17793
Grand'Anse,Jérémie,24062
Grand'Anse,Jérémie,122149
Grand'Anse,Jérémie,34262
Grand'Anse,Jérémie,7830
Grand'Anse,Jérémie,32517
Grand'Anse,Jérémie,28335
Nippes,Anse-à-Veau,18842
Nippes,Anse-à-Veau,37352
Nippes,Anse-à-Veau,31477
Nippes,Anse-à-Veau,27273
Nippes,Anse-à-Veau,24777
Nippes,Baradères,5288
Nippes,Baradères,37509
Nippes,Miragoâne,25966
Nippes,Miragoâne,15762
Nippes,Miragoâne,56864
Nippes,Miragoâne,30387
Nord,Acul-du-Nord,29094
Nord,Acul-du-Nord,37518
Nord,Acul-du-Nord,50844
Nord,Borgne,45360
Nord,Borgne,60860
Nord,Cap-Haïtien,249541
Nord,Cap-Haïtien,24881
Nord,Cap-Haïtien,50150
Nord,Grande-Rivière-du-Nord,37614
Nord,Grande-Rivière-du-Nord,21145
Nord,Limbé,77574
Nord,Limbé,19006
Nord,Plaisance,63278
Nord,Plaisance,49151
Nord,Saint-Raphaël,25195
Nord,Saint-Raphaël,31469
Nord,Saint-Raphaël,1079
Nord,Saint-Raphaël,39344
Nord,Saint-Raphaël,9587
Nord-Est,Fort-Liberté,10509
Nord-Est,Fort-Liberté,13315
Nord-Est,Fort-Liberté,31315
Nord-Est,Ouanaminthe,19073
Nord-Est,Ouanaminthe,96515
Nord-Est,Ouanaminthe,17626
Nord-Est,Trou-du-Nord,44498
Nord-Est,Trou-du-Nord,7015
Nord-Est,Trou-du-Nord,25492
Nord-Est,Trou-du-Nord,27577
Nord-Est,Vallières,31556
Nord-Est,Vallières,12382
Nord-Est,Vallières,21404
Nord-Ouest,Môle-Saint-Nicolas,32764
Nord-Ouest,Môle-Saint-Nicolas,134969
Nord-Ouest,Môle-Saint-Nicolas,24812
Nord-Ouest,Môle-Saint-Nicolas,30795
Nord-Ouest,Port-de-Paix,35347
Nord-Ouest,Port-de-Paix,185494
Nord-Ouest,Port-de-Paix,27611
Nord-Ouest,Port-de-Paix,57697
Nord-Ouest,Saint-Louis-du-Nord,27480
Nord-Ouest,Saint-Louis-du-Nord,105808
Ouest,Arcahaie,118501
Ouest,Arcahaie,62063
Ouest,Croix-des-Bouquets,56869
Ouest,Croix-des-Bouquets,227012
Ouest,Croix-des-Bouquets,45491
Ouest,Croix-des-Bouquets,54254
Ouest,Croix-des-Bouquets,48163
Ouest,Gonâve,56890
Ouest,La Gonâve,22298
Ouest,Léogâne,181709
Ouest,Léogâne,124135
Ouest,Léogâne,157296
Ouest,Port-au-Prince,465019
Ouest,Port-au-Prince,897859
Ouest,Port-au-Prince,359451
Ouest,Port-au-Prince,52232
Ouest,Port-au-Prince,118477
Ouest,Port-au-Prince,241055
Ouest,Port-au-Prince,33152
Ouest,Port-au-Prince,342694
Sud,Aquin,44276
Sud,Aquin,8000
Sud,Aquin,59042
Sud,Aquin,94773
Sud,Chardonnières,22953
Sud,Chardonnières,27182
Sud,Côteaux,16727
Sud,Côteaux,17207
Sud,Côteaux,19372
Sud,Les Cayes,21766
Sud,Les Cayes,31030
Sud,Les Cayes,69189
Sud,Les Cayes,40962
Sud,Les Cayes,137952
Sud,Les Cayes,14004
Sud,Port-Salut,26536
Sud,Port-Salut,17368
Sud,Port-Salut,23251
Sud-Est,Bainet,44595
Sud-Est,Bainet,78896
Sud-Est,Belle-Anse,31761
Sud-Est,Belle-Anse,27415
Sud-Est,Belle-Anse,69071
Sud-Est,Belle-Anse,15513
Sud-Est,Jacmel,170289
Sud-Est,Jacmel,36693
Sud-Est,Jacmel,67933
Sud-Est,Jacmel,33127
